日期,城市,行政区,观测站,气温(度),相对湿度(%),累积雨量(mm)
2015-01-01,新北市,烏來區,福山,13.7℃,92,0
2015-01-02,臺南市,安平區,安平,23.5℃,70,0
2015-01-03,臺東縣,東河鄉,七塊厝,19.6℃,86,0
2015-01-04,新北市,貢寮區,福隆,14.2℃,96,-99
2015-01-05,南投縣,仁愛鄉,小奇萊,8.3℃,57,0
2015-01-06,嘉義縣,大林鎮,大林,23.2℃,63,0
2015-01-07,花蓮縣,玉里鎮,玉里,18.5℃,85,0
2015-01-08,嘉義市,東區,嘉義市東區,25℃,64,0
2015-01-09,宜蘭縣,頭城鎮,龜山島,12℃,100,0.5
2015-01-10,新北市,平溪區,火燒寮,12.3℃,100,2.5
2015-01-11,彰化縣,大城鄉,三豐,17.4℃,81,0
2015-01-12,雲林縣,斗六市,斗六,23℃,58,0
2015-01-13,南投縣,魚池鄉,魚池,26.3℃,50,0
2015-01-14,臺東縣,海端鄉,向陽,16.3℃,71,0
2015-01-15,屏東縣,竹田鄉,竹田,26.7℃,80,0
2015-01-16,苗栗縣,造橋鄉,造橋,-99℃,-9900,-99
2015-01-17,新北市,石門區,白沙灣,13.7℃,90,8.5
2015-01-18,苗栗縣,頭屋鄉,明德,17℃,65,-99
2015-01-19,臺南市,下營區,下營,26.2℃,58,0
2015-01-20,屏東縣,萬丹鄉,萬丹,27℃,62,0
2015-01-21,新北市,三峽區,三峽,16.5℃,67,-99
2015-01-22,宜蘭縣,頭城鎮,桃源谷,11.3℃,100,20
2015-01-23,彰化縣,大城鄉,大城,19.2℃,72,0
2015-01-24,臺中市,大里區,大里,24.3℃,50,0
2015-01-25,臺中市,西屯區,西屯,-99℃,-9900,-99
2015-01-26,臺東縣,鹿野鄉,鹿野,18.2℃,85,0
2015-01-27,嘉義縣,太保市,太保,23.9℃,61,0
2015-01-28,臺南市,學甲區,學甲,22.2℃,66,0
2015-01-29,屏東縣,新園鄉,新園,25.4℃,76,0
2015-01-30,宜蘭縣,頭城鎮,大溪漁港,14.9℃,87,8
2015-01-31,臺中市,清水區,清水,17.8℃,80,0
2015-02-01,臺南市,新化區,虎頭埤,26.1℃,67,0
2015-02-02,臺中市,石岡區,石岡,19.4℃,99,0
2015-02-03,屏東縣,枋山鄉,枋山,25.1℃,67,0
2015-02-04,屏東縣,滿州鄉,滿州,22.6℃,79,0
2015-02-05,屏東縣,恆春鎮,墾雷,23.6℃,82,0
2015-02-06,桃園市,楊梅區,楊梅,13.4℃,88,3
2015-02-07,臺東縣,卑南鄉,檳榔四格山,18.8℃,88,0
2015-02-08,嘉義縣,六腳鄉,六腳,22.3℃,67,0
2015-02-09,雲林縣,斗南鎮,斗南,22.5℃,64,0
2015-02-10,臺南市,北區,臺南市北區,24.7℃,66,0
2015-02-11,雲林縣,古坑鄉,棋山,24.3℃,56,1
2015-02-12,屏東縣,內埔鄉,三地門,28.5℃,53,0
2015-02-13,臺東縣,太麻里鄉,太麻里,17.7℃,91,0
2015-02-14,宜蘭縣,礁溪鄉,大礁溪,14.6℃,87,0
2015-02-15,屏東縣,恆春鎮,山海,24.2℃,67,0
2015-02-16,新北市,樹林區,山佳,16.4℃,74,6.5
2015-02-17,臺南市,官田區,官田,25.1℃,64,0
2015-02-18,高雄市,燕巢區,阿公店,25.8℃,62,0
2015-02-19,宜蘭縣,南澳鄉,西德山,9.1℃,100,4.5
2015-02-20,彰化縣,溪州鄉,溪州,21.8℃,59,0
2015-02-21,彰化縣,伸港鄉,伸港,18.4℃,75,0
2015-02-22,南投縣,仁愛鄉,奇萊稜線A,-99℃,-9900,0
2015-02-23,雲林縣,土庫鎮,土庫,21.8℃,68,0
2015-02-24,屏東縣,恆春鎮,大坪頂,24.8℃,68,0
2015-02-25,花蓮縣,壽豐鄉,月眉山,15.2℃,97,0.5
2015-02-26,臺北市,士林區,平等,13.5℃,93,6.5
2015-02-27,臺南市,將軍區,將軍,21.4℃,73,0
2015-02-28,高雄市,永安區,永安,25℃,73,0
2015-03-01,臺北市,士林區,科教館,16.8℃,67,3.5
2015-03-02,桃園市,大園區,竹圍,13.5℃,95,0
2015-03-03,南投縣,草屯鎮,草屯,23.7℃,57,0
2015-03-04,宜蘭縣,壯圍鄉,壯圍,16.3℃,79,0
2015-03-05,彰化縣,伸港鄉,防潮門,17.1℃,80,0
2015-03-06,嘉義縣,竹崎鄉,奮起湖,19.7℃,65,0
2015-03-07,屏東縣,屏東市,屏東,28.4℃,66,-99
2015-03-08,南投縣,國姓鄉,國姓,25.7℃,57,0
2015-03-09,新北市,石碇區,石碇,12.8℃,95,1
2015-03-10,新北市,金山區,三和,11℃,99,60
2015-03-11,臺中市,豐原區,豐原,19.4℃,69,0
2015-03-12,臺北市,北投區,大屯山,7.3℃,100,6
2015-03-13,新北市,五股區,五股,14.8℃,80,3.5
2015-03-14,花蓮縣,豐濱鄉,靜浦,18.1℃,95,2.5
2015-03-15,臺東縣,太麻里鄉,香蘭,22.4℃,76,0
2015-03-16,雲林縣,褒忠鄉,褒忠,20.6℃,71,0
2015-03-17,花蓮縣,卓溪鄉,卓溪,18.8℃,80,0
2015-03-18,花蓮縣,壽豐鄉,東華,19.4℃,79,1
2015-03-19,宜蘭縣,大同鄉,太平山,9.2℃,99,0
2015-03-20,臺東縣,成功鎮,都歷,21.3℃,77,0
2015-03-21,高雄市,大樹區,溪埔,29.5℃,57,0
2015-03-22,澎湖縣,西嶼鄉,西嶼,16.7℃,83,0
2015-03-23,屏東縣,高樹鄉,高樹,28.9℃,52,0
2015-03-24,嘉義縣,梅山鄉,嘉義梅山,22.7℃,73,0
2015-03-25,臺東縣,延平鄉,延平,20.2℃,78,0
2015-03-26,臺中市,和平區,桃山A,11.1℃,47,0
2015-03-27,苗栗縣,卓蘭鎮,卓蘭,18.7℃,74,1
2015-03-28,臺南市,楠西區,曾文,27.7℃,45,0
2015-03-29,屏東縣,崁頂鄉,崁頂,25.2℃,90,0
2015-03-30,彰化縣,二水鄉,二水,25.1℃,56,0
2015-03-31,屏東縣,春日鄉,春日,24.6℃,77,0
